14PA1A0262,RT21025,ELECTRO MAGNETIC FIELDS,19,14,0
14PA1A0262,RT21026,ELECTRICAL MACHINES-I,17,3,0
14PA1A0262,RT21028,ELECTRICAL CIRCUITS LAB,8,-1,0
15541A0201,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,21,26,3
15541A0201,RT21022,THERMAL AND HYDRO LRIME MOVERS,22,48,3
15541A0201,RT21023,BASIC ELECTRONICS AND DEVICES,24,8,0
15541A0201,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,19,34,3
15541A0201,RT21025,ELECTRO MAGNETIC FIELDS,21,34,3
15541A0201,RT21026,ELECTRICAL MACHINES-I,16,41,3
15541A0201,RT21027,THERMAL AND HYDRO LAB,23,45,2
15541A0201,RT21028,ELECTRICAL CIRCUITS LAB,22,42,2
15541A0202,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,16,6,0
15541A0202,RT21022,THERMAL AND HYDRO LRIME MOVERS,17,18,0
15541A0202,RT21023,BASIC ELECTRONICS AND DEVICES,18,14,0
15541A0202,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,17,3,0
15541A0202,RT21025,ELECTRO MAGNETIC FIELDS,23,9,0
15541A0202,RT21026,ELECTRICAL MACHINES-I,17,6,0
15541A0202,RT21027,THERMAL AND HYDRO LAB,22,40,2
15541A0202,RT21028,ELECTRICAL CIRCUITS LAB,20,40,2
15541A0203,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,20,9,0
15541A0203,RT21022,THERMAL AND HYDRO LRIME MOVERS,18,36,3
15541A0203,RT21023,BASIC ELECTRONICS AND DEVICES,28,48,3
15541A0203,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,23,28,3
15541A0203,RT21025,ELECTRO MAGNETIC FIELDS,23,56,3
15541A0203,RT21026,ELECTRICAL MACHINES-I,22,32,3
15541A0203,RT21027,THERMAL AND HYDRO LAB,24,45,2
15541A0203,RT21028,ELECTRICAL CIRCUITS LAB,22,45,2
15541A0204,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,22,32,3
15541A0204,RT21022,THERMAL AND HYDRO LRIME MOVERS,19,24,3
15541A0204,RT21023,BASIC ELECTRONICS AND DEVICES,22,41,3
15541A0204,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,18,61,3
15541A0204,RT21025,ELECTRO MAGNETIC FIELDS,24,39,3
15541A0204,RT21026,ELECTRICAL MACHINES-I,16,26,3
15541A0204,RT21027,THERMAL AND HYDRO LAB,23,44,2
15541A0204,RT21028,ELECTRICAL CIRCUITS LAB,23,44,2
15541A0205,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,17,4,0
15541A0205,RT21022,THERMAL AND HYDRO LRIME MOVERS,18,29,3
15541A0205,RT21023,BASIC ELECTRONICS AND DEVICES,22,3,0
15541A0205,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,19,44,3
15541A0205,RT21025,ELECTRO MAGNETIC FIELDS,25,37,3
15541A0205,RT21026,ELECTRICAL MACHINES-I,19,37,3
15541A0205,RT21027,THERMAL AND HYDRO LAB,24,47,2
15541A0205,RT21028,ELECTRICAL CIRCUITS LAB,24,45,2
15541A0206,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,24,24,3
15541A0206,RT21022,THERMAL AND HYDRO LRIME MOVERS,25,27,3
15541A0206,RT21023,BASIC ELECTRONICS AND DEVICES,20,24,3
15541A0206,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,19,3,0
,,,,,
15541A0206,RT21025,ELECTRO MAGNETIC FIELDS,28,12,0
15541A0206,RT21026,ELECTRICAL MACHINES-I,17,7,0
