14541A0459,RT32042,DIGITAL SIGNAL PROCESSING,26,36,3
14541A0463,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,19,14,0
14541A0463,RT32044,MICROWAVE ENGINEERING,18,18,0
14541A0472,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,25,30,3
14541A0472,RT32043,DIGITAL COMMUNICATIONS,25,14,0
14541A0472,RT32044,MICROWAVE ENGINEERING,20,31,3
14541A0473,RT32042,DIGITAL SIGNAL PROCESSING,23,29,3
14541A0473,RT32044,MICROWAVE ENGINEERING,20,15,0
14541A0473,RT32045A,BIO MEDICAL ENGINEERING,10,8,0
14541A0474,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,29,39,3
14541A0476,RT32042,DIGITAL SIGNAL PROCESSING,28,37,3
14541A0478,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,26,33,3
14541A0479,RT32045A,BIO MEDICAL ENGINEERING,17,-1,0
14541A0482,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,23,20,0
14541A0482,RT32042,DIGITAL SIGNAL PROCESSING,24,29,3
14541A0482,RT32044,MICROWAVE ENGINEERING,17,31,3
14541A0506,RT32051,SOFTWARE ENGINEERING,23,6,0
14541A0506,RT32054,DESIGN AND ANALYSIS OF ALGORITHMS,26,36,3
14541A0506,RT32055,WEB TECHNOLOGIES,22,6,0
14541A0510,RT32051,SOFTWARE ENGINEERING,23,10,0
14541A0512,RT32055,WEB TECHNOLOGIES,25,14,0
14541A0522,RT32052,DATA WARE HOUSING AND MINING,20,30,3
14541A0526,RT32052,DATA WARE HOUSING AND MINING,13,32,3
14541A0526,RT32056,IPR AND PATENTS,23,36,2
14541A0533,RT32052,DATA WARE HOUSING AND MINING,15,29,3
14541A0533,RT32055,WEB TECHNOLOGIES,16,0,0
14541A0534,RT32055,WEB TECHNOLOGIES,22,16,0
14541A0547,RT32055,WEB TECHNOLOGIES,20,19,0
14541A0549,RT32052,DATA WARE HOUSING AND MINING,23,29,3
14541A0549,RT32055,WEB TECHNOLOGIES,22,8,0
14545A0211,RT32021,MICROPROCESSORS & MICROCONTROLLERS,22,-1,0
14545A0211,RT32022,SWITCHGEAR AND PROTECTION,19,-1,0
14545A0211,RT32024,POWER SYSTEM ANALYSIS,20,-1,0
14545A0215,RT32024,POWER SYSTEM ANALYSIS,21,7,0
14545A0304,RT32037A,REFRIGERATION & AIR CONDITIONING,17,28,3
14545A0305,RT32032,INTERACTIVE COMPUTER GRAPHICS,16,9,0
14545A0305,RT32037A,REFRIGERATION & AIR CONDITIONING,19,14,0
14545A0403,RT32042,DIGITAL SIGNAL PROCESSING,16,32,3
14545A0403,RT32043,DIGITAL COMMUNICATIONS,19,13,0
14545A0403,RT32044,MICROWAVE ENGINEERING,19,30,3
14545A0404,RT32042,DIGITAL SIGNAL PROCESSING,19,23,0
14545A0410,RT32042,DIGITAL SIGNAL PROCESSING,19,22,0
14545A0410,RT32045A,BIO MEDICAL ENGINEERING,21,0,0
14545A0412,RT32042,DIGITAL SIGNAL PROCESSING,19,29,3
