12541A0318,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,19,28,4
12541A0318,R4203E,PROJECT WORK,47,119,12
12541A0319,R42031,INTERACTIVE COMPUTER GRAPHICS,15,40,4
12541A0319,R42034,AUTOMATION IN MANUFACTURING,19,26,4
12541A0319,R42039,POWER PLANT ENGINEERING,23,35,4
12541A0319,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,5,11,0
12541A0319,R4203E,PROJECT WORK,45,117,12
12541A0320,R42031,INTERACTIVE COMPUTER GRAPHICS,19,51,4
12541A0320,R42034,AUTOMATION IN MANUFACTURING,19,27,4
12541A0320,R42039,POWER PLANT ENGINEERING,24,32,4
12541A0320,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,17,31,4
12541A0320,R4203E,PROJECT WORK,46,116,12
12541A0321,R42031,INTERACTIVE COMPUTER GRAPHICS,20,33,4
12541A0321,R42034,AUTOMATION IN MANUFACTURING,19,41,4
12541A0321,R42039,POWER PLANT ENGINEERING,22,31,4
12541A0321,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,21,44,4
12541A0321,R4203E,PROJECT WORK,46,116,12
12541A0322,R42031,INTERACTIVE COMPUTER GRAPHICS,22,37,4
12541A0322,R42034,AUTOMATION IN MANUFACTURING,16,38,4
12541A0322,R42039,POWER PLANT ENGINEERING,24,45,4
12541A0322,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,20,32,4
12541A0322,R4203E,PROJECT WORK,47,114,12
12541A0323,R42031,INTERACTIVE COMPUTER GRAPHICS,24,45,4
12541A0323,R42034,AUTOMATION IN MANUFACTURING,23,43,4
12541A0323,R42039,POWER PLANT ENGINEERING,24,40,4
12541A0323,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,23,0,0
12541A0323,R4203E,PROJECT WORK,48,115,12
12541A0324,R42031,INTERACTIVE COMPUTER GRAPHICS,22,53,4
12541A0324,R42034,AUTOMATION IN MANUFACTURING,19,47,4
12541A0324,R42039,POWER PLANT ENGINEERING,24,56,4
12541A0324,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,18,27,4
12541A0324,R4203E,PROJECT WORK,47,126,12
12541A0325,R42031,INTERACTIVE COMPUTER GRAPHICS,23,33,4
12541A0325,R42034,AUTOMATION IN MANUFACTURING,21,46,4
12541A0325,R42039,POWER PLANT ENGINEERING,24,31,4
12541A0325,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,23,47,4
12541A0325,R4203E,PROJECT WORK,47,118,12
12541A0326,R42031,INTERACTIVE COMPUTER GRAPHICS,19,44,4
12541A0326,R42034,AUTOMATION IN MANUFACTURING,18,41,4
12541A0326,R42039,POWER PLANT ENGINEERING,22,54,4
12541A0326,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,18,40,4
12541A0326,R4203E,PROJECT WORK,46,128,12
12541A0401,R42041,CELLULAR AND MOBILE COMMUNICATIONS,20,32,4
12541A0401,R42043,SATELLITE COMMUNICATIONS,19,30,4
12541A0401,R42045,OPERATING SYSTEMS,25,42,4
12541A0401,R4204A,TV ENGINEERING,18,39,4
12541A0401,R4204B,PROJECT,49,147,12
12541A0402,R42041,CELLULAR AND MOBILE COMMUNICATIONS,23,53,4
12541A0402,R42043,SATELLITE COMMUNICATIONS,22,35,4
12541A0402,R42045,OPERATING SYSTEMS,23,39,4
12541A0402,R4204A,TV ENGINEERING,18,39,4
12541A0402,R4204B,PROJECT,49,147,12
12541A0403,R42041,CELLULAR AND MOBILE COMMUNICATIONS,19,34,4
12541A0403,R42043,SATELLITE COMMUNICATIONS,19,37,4
12541A0403,R42045,OPERATING SYSTEMS,24,46,4
12541A0403,R4204A,TV ENGINEERING,17,27,4
12541A0403,R4204B,PROJECT,49,144,12
12541A0404,R42041,CELLULAR AND MOBILE COMMUNICATIONS,23,28,4
12541A0404,R42043,SATELLITE COMMUNICATIONS,23,35,4
12541A0404,R42045,OPERATING SYSTEMS,25,47,4
12541A0404,R4204A,TV ENGINEERING,21,45,4
12541A0404,R4204B,PROJECT,50,148,12
12541A0405,R42041,CELLULAR AND MOBILE COMMUNICATIONS,15,12,0
12541A0405,R42043,SATELLITE COMMUNICATIONS,11,32,4
12541A0405,R42045,OPERATING SYSTEMS,17,29,4
12541A0405,R4204A,TV ENGINEERING,13,8,0
12541A0405,R4204B,PROJECT,48,148,12
12541A0407,R42041,CELLULAR AND MOBILE COMMUNICATIONS,22,41,4
12541A0407,R42043,SATELLITE COMMUNICATIONS,17,28,4
12541A0407,R42045,OPERATING SYSTEMS,23,30,4
12541A0407,R4204A,TV ENGINEERING,16,32,4
12541A0407,R4204B,PROJECT,49,148,12
12541A0408,R42041,CELLULAR AND MOBILE COMMUNICATIONS,14,33,4
12541A0408,R42043,SATELLITE COMMUNICATIONS,19,29,4
12541A0408,R42045,OPERATING SYSTEMS,23,18,0
12541A0408,R4204A,TV ENGINEERING,17,33,4
12541A0408,R4204B,PROJECT,48,140,12
12541A0409,R42041,CELLULAR AND MOBILE COMMUNICATIONS,23,10,0
12541A0409,R42043,SATELLITE COMMUNICATIONS,23,26,4
