16541A0225,R1631026,ELECTRICAL MACHINES-II LABORATORY,S,2
16541A0225,R1631027,CONTROL SYSTEMS LABORATORY,O,2
16541A0225,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,O,2
16541A0226,R1631021,POWER SYSTEMS-II,F,0
16541A0226,R1631022,RENEWABLE ENERGY SOURCES,D,3
16541A0226,R1631023,SIGNALS AND SYSTEMS,D,3
16541A0226,R1631024,PULSE & DIGITAL CIRCUITS,F,0
16541A0226,R1631025,POWER ELECTRONICS,C,3
16541A0226,R1631026,ELECTRICAL MACHINES-II LABORATORY,O,2
16541A0226,R1631027,CONTROL SYSTEMS LABORATORY,O,2
16541A0226,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,O,2
16541A0227,R1631021,POWER SYSTEMS-II,F,0
16541A0227,R1631022,RENEWABLE ENERGY SOURCES,C,3
16541A0227,R1631023,SIGNALS AND SYSTEMS,F,0
16541A0227,R1631024,PULSE & DIGITAL CIRCUITS,F,0
16541A0227,R1631025,POWER ELECTRONICS,F,0
16541A0227,R1631026,ELECTRICAL MACHINES-II LABORATORY,S,2
16541A0227,R1631027,CONTROL SYSTEMS LABORATORY,O,2
16541A0227,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,S,2
16541A0301,R1631031,DYNAMICS OF MACHINERY,C,3
16541A0301,R1631032,METAL CUTTING & MACHINE TOOLS,C,3
16541A0301,R1631033,DESIGN OF MACHINE MEMBERS-II,C,3
16541A0301,R1631034,OPERATIONS RESEARCH,B,3
16541A0301,R1631035,THERMAL ENGINEERING -II,B,3
16541A0301,R1631036,THEORY OF MACHINES LAB,O,2
16541A0301,R1631037,MACHINE TOOLS LAB,O,2
16541A0301,R1631038,THERMAL ENGINEERING LAB,O,2
16541A0302,R1631031,DYNAMICS OF MACHINERY,C,3
16541A0302,R1631032,METAL CUTTING & MACHINE TOOLS,F,0
16541A0302,R1631033,DESIGN OF MACHINE MEMBERS-II,D,3
16541A0302,R1631034,OPERATIONS RESEARCH,D,3
16541A0302,R1631035,THERMAL ENGINEERING -II,D,3
16541A0302,R1631036,THEORY OF MACHINES LAB,O,2
16541A0302,R1631037,MACHINE TOOLS LAB,S,2
16541A0302,R1631038,THERMAL ENGINEERING LAB,S,2
16541A0303,R1631031,DYNAMICS OF MACHINERY,F,0
16541A0303,R1631032,METAL CUTTING & MACHINE TOOLS,D,3
16541A0303,R1631033,DESIGN OF MACHINE MEMBERS-II,D,3
16541A0303,R1631034,OPERATIONS RESEARCH,C,3
16541A0303,R1631035,THERMAL ENGINEERING -II,F,0
16541A0303,R1631036,THEORY OF MACHINES LAB,S,2
16541A0303,R1631037,MACHINE TOOLS LAB,O,2
16541A0303,R1631038,THERMAL ENGINEERING LAB,O,2
16541A0304,R1631031,DYNAMICS OF MACHINERY,B,3
16541A0304,R1631032,METAL CUTTING & MACHINE TOOLS,C,3
16541A0304,R1631033,DESIGN OF MACHINE MEMBERS-II,S,3
16541A0304,R1631034,OPERATIONS RESEARCH,B,3
16541A0304,R1631035,THERMAL ENGINEERING -II,B,3
16541A0304,R1631036,THEORY OF MACHINES LAB,O,2
16541A0304,R1631037,MACHINE TOOLS LAB,O,2
16541A0304,R1631038,THERMAL ENGINEERING LAB,O,2
16541A0305,R1631031,DYNAMICS OF MACHINERY,F,0
16541A0305,R1631032,METAL CUTTING & MACHINE TOOLS,F,0
16541A0305,R1631033,DESIGN OF MACHINE MEMBERS-II,D,3
16541A0305,R1631034,OPERATIONS RESEARCH,C,3
16541A0305,R1631035,THERMAL ENGINEERING -II,D,3
16541A0305,R1631036,THEORY OF MACHINES LAB,A,2
16541A0305,R1631037,MACHINE TOOLS LAB,A,2
16541A0305,R1631038,THERMAL ENGINEERING LAB,S,2
16541A0306,R1631031,DYNAMICS OF MACHINERY,C,3
16541A0306,R1631032,METAL CUTTING & MACHINE TOOLS,F,0
16541A0306,R1631033,DESIGN OF MACHINE MEMBERS-II,D,3
16541A0306,R1631034,OPERATIONS RESEARCH,D,3
16541A0306,R1631035,THERMAL ENGINEERING -II,F,0
