14541A0442,RT22041,ELECTRONIC CIRCUIT ANALYSIS,21,2,0
14541A0442,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,27,34,3
,,,,,
14541A0442,RT22043,MANAGEMENT SCIENCE,17,26,3
14541A0443,RT22044,EM WAVES AND TRANSMISSION LINES,30,15,0
14541A0443,RT22045,ANALOG COMMUNICATIONS,30,28,3
14541A0446,RT22022,SWITCHING THEORY AND LOGIC DESIGN,20,28,3
14541A0446,RT22041,ELECTRONIC CIRCUIT ANALYSIS,18,31,3
14541A0446,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,26,13,0
14541A0446,RT22043,MANAGEMENT SCIENCE,23,25,3
14541A0446,RT22044,EM WAVES AND TRANSMISSION LINES,12,4,0
14541A0446,RT22045,ANALOG COMMUNICATIONS,23,24,3
14541A0447,RT22022,SWITCHING THEORY AND LOGIC DESIGN,16,12,0
14541A0447,RT22041,ELECTRONIC CIRCUIT ANALYSIS,13,1,0
14541A0447,RT22045,ANALOG COMMUNICATIONS,22,6,0
14541A0448,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,26,37,3
14541A0449,RT22022,SWITCHING THEORY AND LOGIC DESIGN,27,44,3
14541A0450,RT22045,ANALOG COMMUNICATIONS,27,28,3
14541A0451,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,26,36,3
14541A0456,RT22041,ELECTRONIC CIRCUIT ANALYSIS,18,3,0
14541A0456,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,21,30,3
14541A0459,RT22041,ELECTRONIC CIRCUIT ANALYSIS,18,2,0
14541A0459,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,24,28,3
14541A0460,RT22045,ANALOG COMMUNICATIONS,30,17,0
14541A0463,RT22041,ELECTRONIC CIRCUIT ANALYSIS,15,2,0
14541A0463,RT22044,EM WAVES AND TRANSMISSION LINES,19,9,0
14541A0463,RT22045,ANALOG COMMUNICATIONS,22,28,3
14541A0466,RT22041,ELECTRONIC CIRCUIT ANALYSIS,18,0,0
14541A0466,RT22043,MANAGEMENT SCIENCE,17,25,3
14541A0466,RT22044,EM WAVES AND TRANSMISSION LINES,18,4,0
14541A0467,RT22022,SWITCHING THEORY AND LOGIC DESIGN,18,29,3
14541A0467,RT22041,ELECTRONIC CIRCUIT ANALYSIS,18,32,3
14541A0469,RT22043,MANAGEMENT SCIENCE,18,25,3
14541A0469,RT22045,ANALOG COMMUNICATIONS,30,36,3
14541A0472,RT22022,SWITCHING THEORY AND LOGIC DESIGN,18,36,3
14541A0472,RT22044,EM WAVES AND TRANSMISSION LINES,16,2,0
14541A0472,RT22045,ANALOG COMMUNICATIONS,22,15,0
14541A0473,RT22041,ELECTRONIC CIRCUIT ANALYSIS,17,5,0
14541A0473,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,26,32,3
14541A0473,RT22043,MANAGEMENT SCIENCE,18,15,0
14541A0473,RT22045,ANALOG COMMUNICATIONS,18,6,0
14541A0474,RT22022,SWITCHING THEORY AND LOGIC DESIGN,24,48,3
14541A0474,RT22044,EM WAVES AND TRANSMISSION LINES,27,15,0
14541A0476,RT22022,SWITCHING THEORY AND LOGIC DESIGN,20,29,3
14541A0476,RT22041,ELECTRONIC CIRCUIT ANALYSIS,18,29,3
14541A0477,RT22043,MANAGEMENT SCIENCE,21,25,3
14541A0478,RT22022,SWITCHING THEORY AND LOGIC DESIGN,22,28,3
14541A0478,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,27,30,3
14541A0478,RT22044,EM WAVES AND TRANSMISSION LINES,21,6,0
14541A0478,RT22045,ANALOG COMMUNICATIONS,29,12,0
14541A0479,RT22041,ELECTRONIC CIRCUIT ANALYSIS,18,8,0
14541A0482,RT22022,SWITCHING THEORY AND LOGIC DESIGN,23,37,3
14541A0482,RT22041,ELECTRONIC CIRCUIT ANALYSIS,17,1,0
14541A0482,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,26,27,3
,,,,,
14541A0482,RT22043,MANAGEMENT SCIENCE,26,17,0
14541A0482,RT22044,EM WAVES AND TRANSMISSION LINES,23,7,0
14541A0482,RT22045,ANALOG COMMUNICATIONS,21,24,3
14541A0508,RT22055,FORMAL LANGUAGES AND AUTOMATA THEORY,29,12,0
14541A0512,RT22053,ADVANCED DATA STRUCTURES,27,-1,0
14541A0513,RT22055,FORMAL LANGUAGES AND AUTOMATA THEORY,27,7,0
14541A0517,RT22051,PROBABILITY AND STATISTICS,21,28,3
14541A0517,RT22053,ADVANCED DATA STRUCTURES,23,37,3
14541A0518,RT22051,PROBABILITY AND STATISTICS,19,46,3
14541A0518,RT22054,COMPUTER ORGANIZATION,21,29,3
14541A0520,RT22055,FORMAL LANGUAGES AND AUTOMATA THEORY,25,10,0
14541A0522,RT22054,COMPUTER ORGANIZATION,18,15,0
14541A0522,RT22055,FORMAL LANGUAGES AND AUTOMATA THEORY,25,0,0
14541A0523,RT22054,COMPUTER ORGANIZATION,15,17,0
14541A0523,RT22055,FORMAL LANGUAGES AND AUTOMATA THEORY,23,3,0
14541A0524,RT22053,ADVANCED DATA STRUCTURES,24,36,3
14541A0524,RT22054,COMPUTER ORGANIZATION,16,16,0
14541A0524,RT22055,FORMAL LANGUAGES AND AUTOMATA THEORY,18,2,0
14541A0527,RT22055,FORMAL LANGUAGES AND AUTOMATA THEORY,22,12,0
14541A0528,RT22055,FORMAL LANGUAGES AND AUTOMATA THEORY,29,16,0
14541A0533,RT22053,ADVANCED DATA STRUCTURES,21,32,3
14541A0533,RT22054,COMPUTER ORGANIZATION,16,4,0
14541A0533,RT22055,FORMAL LANGUAGES AND AUTOMATA THEORY,17,3,0
14541A0534,RT22053,ADVANCED DATA STRUCTURES,29,36,3
14541A0535,RT22051,PROBABILITY AND STATISTICS,16,32,3
14541A0535,RT22055,FORMAL LANGUAGES AND AUTOMATA THEORY,21,2,0
14541A0536,RT22055,FORMAL LANGUAGES AND AUTOMATA THEORY,26,7,0
14541A0538,RT22053,ADVANCED DATA STRUCTURES,29,41,3
14541A0544,RT22051,PROBABILITY AND STATISTICS,20,30,3
14541A0544,RT22055,FORMAL LANGUAGES AND AUTOMATA THEORY,23,3,0
14541A0545,RT22055,FORMAL LANGUAGES AND AUTOMATA THEORY,20,8,0
14541A0546,RT22055,FORMAL LANGUAGES AND AUTOMATA THEORY,29,2,0
14541A0547,RT22051,PROBABILITY AND STATISTICS,17,45,3
14541A0547,RT22053,ADVANCED DATA STRUCTURES,24,40,3
14541A0549,RT22052,JAVA PROGRAMMING,16,30,3
14541A0549,RT22054,COMPUTER ORGANIZATION,17,24,3
14541A0549,RT22055,FORMAL LANGUAGES AND AUTOMATA THEORY,23,1,0
14545A0201,RT22025,ELECTRICAL MACHINES-II,20,11,0
14545A0201,RT22026,CONTROL SYSTEMS,21,2,0
14545A0202,RT22022,SWITCHING THEORY AND LOGIC DESIGN,18,-1,0
14545A0202,RT22023,PULSE & DIGITAL CIRCUITS,9,-1,0
