15541A0239,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,24,46,2
15541A0239,RT4102M,ELECTRICAL SIMULATION LAB,21,45,2
15541A0239,RT4102N,POWER SYSTEMS LAB,24,44,2
15541A0241,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,22,25,3
15541A0241,RT41022,HVAC AND DC TRANSMISSION,18,26,3
15541A0241,RT41023,POWER SYSTEM OPERATION AND CONTROL,20,14,0
15541A0241,RT41025,INSTRUMENTATION,16,30,3
15541A0241,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,23,24,3
15541A0241,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,21,47,2
15541A0241,RT4102M,ELECTRICAL SIMULATION LAB,22,46,2
15541A0241,RT4102N,POWER SYSTEMS LAB,23,45,2
15541A0243,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,24,44,3
15541A0243,RT41022,HVAC AND DC TRANSMISSION,25,33,3
15541A0243,RT41023,POWER SYSTEM OPERATION AND CONTROL,23,35,3
15541A0243,RT41025,INSTRUMENTATION,24,37,3
15541A0243,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,24,33,3
15541A0243,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,23,48,2
15541A0243,RT4102M,ELECTRICAL SIMULATION LAB,22,45,2
15541A0243,RT4102N,POWER SYSTEMS LAB,23,45,2
15541A0244,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,18,40,3
15541A0244,RT41022,HVAC AND DC TRANSMISSION,20,61,3
15541A0244,RT41023,POWER SYSTEM OPERATION AND CONTROL,18,30,3
15541A0244,RT41025,INSTRUMENTATION,20,35,3
15541A0244,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,15,46,3
