14541A0546,RT22055,FORMAL LANGUAGES AND AUTOMATA THEORY,29,47,3
14541A0549,RT22055,FORMAL LANGUAGES AND AUTOMATA THEORY,23,9,0
14545A0201,RT22025,ELECTRICAL MACHINES-II,20,11,0
14545A0201,RT22026,CONTROL SYSTEMS,21,11,0
14545A0202,RT22022,SWITCHING THEORY AND LOGIC DESIGN,18,-1,0
14545A0202,RT22023,PULSE & DIGITAL CIRCUITS,9,-1,0
14545A0202,RT22025,ELECTRICAL MACHINES-II,18,-1,0
14545A0202,RT22026,CONTROL SYSTEMS,19,-1,0
14545A0210,RT22023,PULSE & DIGITAL CIRCUITS,9,15,0
14545A0210,RT22025,ELECTRICAL MACHINES-II,15,15,0
14545A0212,RT22025,ELECTRICAL MACHINES-II,7,18,0
14545A0215,RT22026,CONTROL SYSTEMS,22,5,0
14545A0305,RT22031,KINEMATICS OF MACHINERY,23,11,0
14545A0306,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,19,32,3
14545A0401,RT22041,ELECTRONIC CIRCUIT ANALYSIS,17,8,0
14545A0401,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,19,12,0
14545A0401,RT22044,EM WAVES AND TRANSMISSION LINES,17,6,0
14545A0403,RT22022,SWITCHING THEORY AND LOGIC DESIGN,19,33,3
14545A0403,RT22041,ELECTRONIC CIRCUIT ANALYSIS,22,17,0
14545A0403,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,19,0,0
14545A0403,RT22043,MANAGEMENT SCIENCE,19,29,3
14545A0403,RT22044,EM WAVES AND TRANSMISSION LINES,18,5,0
14545A0403,RT22045,ANALOG COMMUNICATIONS,19,33,3
14545A0407,RT22022,SWITCHING THEORY AND LOGIC DESIGN,14,5,0
14545A0407,RT22041,ELECTRONIC CIRCUIT ANALYSIS,12,9,0
14545A0407,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,14,3,0
14545A0407,RT22044,EM WAVES AND TRANSMISSION LINES,15,4,0
14545A0410,RT22044,EM WAVES AND TRANSMISSION LINES,20,9,0
14545A0412,RT22041,ELECTRONIC CIRCUIT ANALYSIS,19,27,3
14545A0412,RT22044,EM WAVES AND TRANSMISSION LINES,16,7,0
14545A0414,RT22044,EM WAVES AND TRANSMISSION LINES,22,9,0
14545A0415,RT22041,ELECTRONIC CIRCUIT ANALYSIS,19,27,3
14545A0415,RT22043,MANAGEMENT SCIENCE,17,31,3
14545A0415,RT22044,EM WAVES AND TRANSMISSION LINES,20,14,0
14545A0415,RT22045,ANALOG COMMUNICATIONS,16,30,3
14545A0417,RT22044,EM WAVES AND TRANSMISSION LINES,19,6,0
14545A0501,RT22051,PROBABILITY AND STATISTICS,20,0,0
14545A0501,RT22053,ADVANCED DATA STRUCTURES,19,36,3
14PA1A0262,RT22021,ENVIRONMENTAL STUDIES,22,34,3
14PA1A0262,RT22022,SWITCHING THEORY AND LOGIC DESIGN,16,0,0
14PA1A0262,RT22023,PULSE & DIGITAL CIRCUITS,18,26,3
14PA1A0262,RT22024,POWER SYSTEMS-I,28,31,3
14PA1A0262,RT22025,ELECTRICAL MACHINES-II,22,0,0
14PA1A0262,RT22026,CONTROL SYSTEMS,27,9,0
14PA1A0262,RT22027,ELECTRICAL MACHINES -I LAB,12,-1,0
14PA1A0262,RT22028,ELECTRONIC DEVICES & CIRCUITS LAB,12,-1,0
15541A0201,RT22021,ENVIRONMENTAL STUDIES,21,34,3
15541A0201,RT22022,SWITCHING THEORY AND LOGIC DESIGN,20,46,3
15541A0201,RT22023,PULSE & DIGITAL CIRCUITS,27,37,3
15541A0201,RT22024,POWER SYSTEMS-I,28,35,3
15541A0201,RT22025,ELECTRICAL MACHINES-II,25,24,3
15541A0201,RT22026,CONTROL SYSTEMS,28,33,3
15541A0201,RT22027,ELECTRICAL MACHINES -I LAB,24,47,2
15541A0201,RT22028,ELECTRONIC DEVICES & CIRCUITS LAB,23,48,2
15541A0202,RT22021,ENVIRONMENTAL STUDIES,22,33,3
