15541A0214,RT32028,ELECTRICAL MEASUREMENTS LAB,24,48,2
15541A0217,RT32021,MICROPROCESSORS & MICROCONTROLLERS,28,47,3
15541A0217,RT32022,SWITCHGEAR AND PROTECTION,25,52,3
15541A0217,RT32023,UTILIZATION OF ELECTRICAL ENERGY,28,39,3
15541A0217,RT32024,POWER SYSTEM ANALYSIS,29,33,3
15541A0217,RT32025,MANAGEMENT SCIENCE,28,55,3
15541A0217,RT32026,POWER SEMICONDUCTOR DRIVES,29,49,3
15541A0217,RT32027,POWER ELECTRONICS LAB,23,48,2
15541A0217,RT32028,ELECTRICAL MEASUREMENTS LAB,25,46,2
15541A0218,RT32021,MICROPROCESSORS & MICROCONTROLLERS,27,41,3
15541A0218,RT32022,SWITCHGEAR AND PROTECTION,25,52,3
15541A0218,RT32023,UTILIZATION OF ELECTRICAL ENERGY,23,62,3
15541A0218,RT32024,POWER SYSTEM ANALYSIS,24,57,3
15541A0218,RT32025,MANAGEMENT SCIENCE,26,43,3
15541A0218,RT32026,POWER SEMICONDUCTOR DRIVES,26,45,3
15541A0218,RT32027,POWER ELECTRONICS LAB,22,48,2
15541A0218,RT32028,ELECTRICAL MEASUREMENTS LAB,25,46,2
15541A0219,RT32021,MICROPROCESSORS & MICROCONTROLLERS,26,20,0
15541A0219,RT32022,SWITCHGEAR AND PROTECTION,21,43,3
15541A0219,RT32023,UTILIZATION OF ELECTRICAL ENERGY,23,40,3
15541A0219,RT32024,POWER SYSTEM ANALYSIS,20,24,3
15541A0219,RT32025,MANAGEMENT SCIENCE,21,31,3
15541A0219,RT32026,POWER SEMICONDUCTOR DRIVES,22,24,3
15541A0219,RT32027,POWER ELECTRONICS LAB,23,46,2
15541A0219,RT32028,ELECTRICAL MEASUREMENTS LAB,24,46,2
15541A0220,RT32021,MICROPROCESSORS & MICROCONTROLLERS,27,31,3
15541A0220,RT32022,SWITCHGEAR AND PROTECTION,23,32,3
15541A0220,RT32023,UTILIZATION OF ELECTRICAL ENERGY,24,38,3
15541A0220,RT32024,POWER SYSTEM ANALYSIS,26,28,3
15541A0220,RT32025,MANAGEMENT SCIENCE,24,58,3
15541A0220,RT32026,POWER SEMICONDUCTOR DRIVES,26,42,3
15541A0220,RT32027,POWER ELECTRONICS LAB,21,48,2
15541A0220,RT32028,ELECTRICAL MEASUREMENTS LAB,25,46,2
15541A0221,RT32021,MICROPROCESSORS & MICROCONTROLLERS,26,45,3
15541A0221,RT32022,SWITCHGEAR AND PROTECTION,23,30,3
15541A0221,RT32023,UTILIZATION OF ELECTRICAL ENERGY,25,24,3
15541A0221,RT32024,POWER SYSTEM ANALYSIS,25,40,3
15541A0221,RT32025,MANAGEMENT SCIENCE,24,53,3
15541A0221,RT32026,POWER SEMICONDUCTOR DRIVES,24,39,3
15541A0221,RT32027,POWER ELECTRONICS LAB,24,47,2
15541A0221,RT32028,ELECTRICAL MEASUREMENTS LAB,24,46,2
15541A0222,RT32021,MICROPROCESSORS & MICROCONTROLLERS,28,36,3
15541A0222,RT32022,SWITCHGEAR AND PROTECTION,20,49,3
15541A0222,RT32023,UTILIZATION OF ELECTRICAL ENERGY,27,65,3
15541A0222,RT32024,POWER SYSTEM ANALYSIS,26,39,3
15541A0222,RT32025,MANAGEMENT SCIENCE,29,56,3
