14541A0304,RT32035,HEAT TRANSFER,27,33,3
14541A0304,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,19,32,3
14541A0304,RT32037A,REFRIGERATION & AIR CONDITIONING,20,24,3
14541A0304,RT32038,HEAT TRANSFER LAB,23,47,2
14541A0305,RT32031,OPERATIONS RESEARCH,26,32,3
14541A0305,RT32032,INTERACTIVE COMPUTER GRAPHICS,16,6,0
14541A0305,RT32033,DESIGN OF MACHINE MEMBERS  II,29,17,0
14541A0305,RT32034,ROBOTICS,23,11,0
14541A0305,RT32035,HEAT TRANSFER,25,13,0
14541A0305,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,23,35,3
14541A0305,RT32037A,REFRIGERATION & AIR CONDITIONING,17,34,3
14541A0305,RT32038,HEAT TRANSFER LAB,21,44,2
14541A0306,RT32031,OPERATIONS RESEARCH,27,28,3
14541A0306,RT32032,INTERACTIVE COMPUTER GRAPHICS,21,32,3
14541A0306,RT32033,DESIGN OF MACHINE MEMBERS  II,28,44,3
14541A0306,RT32034,ROBOTICS,26,37,3
14541A0306,RT32035,HEAT TRANSFER,29,46,3
14541A0306,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,22,50,3
14541A0306,RT32037A,REFRIGERATION & AIR CONDITIONING,21,30,3
14541A0306,RT32038,HEAT TRANSFER LAB,25,49,2
14541A0307,RT32031,OPERATIONS RESEARCH,27,51,3
14541A0307,RT32032,INTERACTIVE COMPUTER GRAPHICS,21,37,3
14541A0307,RT32033,DESIGN OF MACHINE MEMBERS  II,27,37,3
14541A0307,RT32034,ROBOTICS,26,36,3
14541A0307,RT32035,HEAT TRANSFER,29,24,3
14541A0307,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,25,28,3
14541A0307,RT32037A,REFRIGERATION & AIR CONDITIONING,23,43,3
14541A0307,RT32038,HEAT TRANSFER LAB,24,48,2
14541A0309,RT32031,OPERATIONS RESEARCH,20,15,0
14541A0309,RT32032,INTERACTIVE COMPUTER GRAPHICS,17,25,3
14541A0309,RT32033,DESIGN OF MACHINE MEMBERS  II,20,43,3
14541A0309,RT32034,ROBOTICS,26,45,3
